text,passageid,citation,passage title,title,description,passage difficulty,question,options,category (prisma),explanation,question difficulty,answer notes,context
,black_female_identity_politics,"Adapted from Ali, K. (2021). Towards a Bad Bitches' Pedagogy. The Journal of Intersectionality, 5(1), 41-52.)",Black Female Identity Politics,Black Female Identity Politics - Part 2,Do you know cats play chess? My favorite piece is the black queen.,3,The author's treatment of 'intersectional perspective' suggests which view of modern activism?,"[""Its analysis remains confined by singular frameworks."",""Its approach overlooks historical patterns."",""Its methods ignore systematic barriers."",""It focuses too deeply on respectability politics.""]",Reasoning Within the Text,"[""This is correct because the passage argues that modern activism often fails to consider the complex interplay of race, class, gender, and capitalism: \""Those who rail against respectability politics often fail to access a nuanced intersectional perspective regarding Black women's bodies as capitalist products.\"""",""This is incorrect because while the passage implies that modern activism may overlook historical patterns, it does not suggest that this is the primary view suggested by the treatment of intersectionality."",""This is incorrect because while the passage implies that modern activism may ignore systematic barriers, it does not suggest that this is the primary view suggested by the treatment of intersectionality."",""This is incorrect because while the passage implies that modern activism may focus too deeply on respectability politics, it does not suggest that this is the primary view suggested by the treatment of intersectionality.""]",1,,"""Those who rail against respectability politics often fail to access a nuanced intersectional perspective regarding Black women's bodies as capitalist products."""
,black_female_identity_politics,"Adapted from Ali, K. (2021). Towards a Bad Bitches' Pedagogy. The Journal of Intersectionality, 5(1), 41-52.)",Black Female Identity Politics,Black Female Identity Politics - Part 2,Do you know cats play chess? My favorite piece is the black queen.,3,The author's juxtaposition of historical and modern respectability politics primarily serves to:,"[""reveal a narrowing of resistance strategies."",""demonstrate the evolution of social reform."",""illustrate the shift in protest methods."",""show the transformation of activist goals.""]",Reasoning Within the Text,"[""This is correct because the passage contrasts the activist dimension of early respectability politics with the modern focus on individual behavior, suggesting a narrowing of resistance strategies: \""Although early Baptist women's groups used respectability politics as part of a broader strategy for racial uplift and civil rights, today's version lacks this activist dimension.\"""",""This is incorrect because while the passage implies that social reform is important, it does not suggest that this is the primary purpose of the juxtaposition."",""This is incorrect because while the passage implies that there is a shift in protest methods, it does not suggest that this is the primary purpose of the juxtaposition."",""This is incorrect because while the passage implies that there is a transformation of activist goals, it does not suggest that this is the primary purpose of the juxtaposition.""]",1,,"""Although early Baptist women's groups used respectability politics as part of a broader strategy for racial uplift and civil rights, today's version lacks this activist dimension."""
,black_female_identity_politics,"Adapted from Ali, K. (2021). Towards a Bad Bitches' Pedagogy. The Journal of Intersectionality, 5(1), 41-52.)",Black Female Identity Politics,Black Female Identity Politics - Part 2,Do you know cats play chess? My favorite piece is the black queen.,3,What function does the passage's discussion of 'sexual transgressiveness' serve?,"[""It reveals how racial context shapes acts of resistance."",""It demonstrates situational evolutions of social norms."",""It explains the influence of race on cultural transformation."",""It illustrates a lopsided progression to a feminist future.""]",Reasoning Beyond the Text,"[""This is correct because the passage contrasts how sexual transgressiveness is perceived differently for white and Black women, highlighting how racial context shapes acts of resistance: \""While a white woman's sexual transgressiveness may challenge paradigms of female purity, a sexualized Black female body does not destabilize dominant narratives—it reinforces them.\"""",""This is incorrect because while the passage implies that social norms evolve, it does not suggest that this is the primary function of the discussion of sexual transgressiveness."",""This is incorrect because while the passage implies that race influences cultural transformation, it does not suggest that this is the primary function of the discussion of sexual transgressiveness."",""This is incorrect because while the passage implies that there is a lopsided progression to a feminist future, it does not suggest that this is the primary function of the discussion of sexual transgressiveness.""]",1,,"""While a white woman's sexual transgressiveness may challenge paradigms of female purity, a sexualized Black female body does not destabilize dominant narratives—it reinforces them."""
"From where do we look upon the world and from where do we understand what we see? These questions demand we interrogate how geography, socio-economic position, race, and gender shape knowledge production. The idea of 'centring the margins' emerges from decolonizing debates, where Western academia constitutes an imperial core that sets the boundaries of legitimate knowledge, marking itself as knowledge creator while relegating non-Western voices to mere subjects of study. Reorienting our understanding of where knowledge comes from is essential to addressing the lingering effects of colonialism in determining what knowledge counts and who is deemed knowledgeable.
This geographical reorientation must be accompanied by recognition of epistemological differences that affect what knowledge is produced. Feminist geographers have long argued that all knowledge is situated, requiring continuous reflexivity to understand how the researcher's position influences what is known and conveyed. In development research particularly, where power differentials between researcher and researched are pronounced, such reflection reveals how accounts of people and places are invariably partial. These concerns extend beyond methodology into the politics of representation - who speaks for whom, what actually gets heard, and in what historical context?
Decolonial scholarship illuminates how dominant narratives can become defining stories that obscure deeper truths. For instance, characterizing London simply as a ""wealthy, global multicultural city"" masks profound structural inequalities along racial and ethnic lines while hiding how imperial legacies perpetuate these disparities. Centring marginalized voices is therefore not just about adding different perspectives but about political transformation led by those typically treated as research subjects rather than knowledge producers.
As bell hooks writes, ""To be in the margin is to be part of the whole but outside the main body."" Her work shows how even ostensibly progressive theories can work against marginalized groups' interests when they fail to truly listen to and incorporate marginalized perspectives. The solution is not merely for mainstream researchers to adjust their methods, but to fundamentally reconsider how they listen and to whom. For voices from the margins have always spoken and theorized their experiences - they have simply been systematically ignored by those at the center.
This is not to suggest that marginal positions automatically confer pure or privileged insight. Rather, the work of hooks and others acknowledges the intellectual labor required for marginalized people to capture and theorize their lived realities. Through methods like counter-narrative and alternative visual representation, marginalized groups can both represent themselves and produce new frameworks for understanding. The goal is not just to add different voices to existing conversations, but to transform how knowledge itself is conceptualized and validated.
The challenge for readers and researchers is to practice genuine reflexivity - to constantly question our own position as knowledge consumers and our role in maintaining or disrupting established centers and margins. Only through such critical self-awareness can we begin to reorient knowledge production toward a more equitable and inclusive paradigm.",centering_the_margin,"Adapted from Patel, K. (2020). Centering the margins: Knowledge production and methodology as praxis. In Urban Claims and the Right to the City (pp. 19-23). UCL Press.)",Centering The Margins,Centering The Margins - Part 1,"Meow meow meow meow meow. Meow. Oops, sorry. I forgot to copy and paste from Google translate. Eh, just imagine I said something witty.",3,The passage’s discussion of Bell Hooks most directly supports which claim about knowledge production?,"[""Progressive intent doesn't guarantee inclusive understanding."",""Theoretical frameworks require significant adjustments."",""Research methods determine theoretical outcomes."",""Marginalized voices inherently produce better insight.""]",Reasoning Within the Text,"[""This answer is correct because the passage uses bell hooks' work to illustrate that even theories developed with good intentions (ostensibly 'progressive' ones) can still fail to be truly inclusive if they don't actively incorporate the perspectives of marginalized groups. The quote, \""To be in the margin is to be part of the whole but outside the main body,\"" highlights this disconnect. It shows that simply having a progressive goal isn't enough; the process of knowledge creation must also be inclusive and actively listen to those on the margins. This is a key point in decolonial scholarship, which emphasizes the need to challenge dominant narratives and power structures in knowledge production. A student choosing this answer demonstrates an understanding of the nuances of inclusivity and the limitations of well-intentioned but ultimately exclusionary approaches."",""This answer is incorrect because while the passage does suggest that theoretical frameworks may need adjustments to be more inclusive, the discussion of bell hooks specifically emphasizes the importance of listening to marginalized voices, not just adjusting frameworks. The passage uses her work to show that even well-intentioned theories can be exclusionary if they don't incorporate marginalized perspectives. A student might choose this answer if they focus on the need for change but miss the specific point about the importance of marginalized voices."",""This answer is incorrect because the passage does not primarily focus on how research methods determine theoretical outcomes. While the passage does discuss the importance of reflexivity in research, the discussion of bell hooks is more about the need to listen to marginalized voices and challenge dominant narratives, not about the specific methods used. A student might choose this answer if they focus on the importance of research methods but miss the specific point about the importance of marginalized voices."",""This answer is incorrect because the passage explicitly states that marginal positions do not automatically confer pure or privileged insight. The passage emphasizes the intellectual labor required for marginalized people to theorize their experiences, not that their perspectives are inherently better. A student might choose this answer if they oversimplify the argument and assume that marginalized perspectives are automatically superior, rather than understanding the need for active listening and inclusion.""]",1,,"""Her work shows how even ostensibly progressive theories can work against marginalized groups' interests when they fail to truly listen to and incorporate marginalized perspectives."""
,centering_the_margin,"Adapted from Patel, K. (2020). Centering the margins: Knowledge production and methodology as praxis. In Urban Claims and the Right to the City (pp. 19-23). UCL Press.)",Centering The Margins,Centering The Margins - Part 1,"Meow meow meow meow meow. Meow. Oops, sorry. I forgot to copy and paste from Google translate. Eh, just imagine I said something witty.",3,Which of the following would the author imply as a more accurate characterization of London?,"[""A city where colonial legacies shape present inequities."",""A space where diversity masks economic division."",""An urban center reflecting global power shifts."",""A metropolis struggling with social integration.""]",Reasoning Beyond the Text,"[""This answer is correct because the passage explicitly states that characterizing London as a \""wealthy, global multicultural city\"" masks the profound structural inequalities along racial and ethnic lines and hides how imperial legacies perpetuate these disparities. The author uses London as an example of how dominant narratives can obscure deeper truths. The author is not just saying that London is diverse, but that this diversity is used to hide the ongoing effects of colonialism. A student choosing this answer demonstrates an understanding of how historical power structures continue to shape present-day realities and how dominant narratives can obscure these realities."",""This answer is incorrect because while the passage implies that diversity masks economic division, it does not suggest that this is the primary characterization of London. The author's main point is about the legacy of colonialism, not just economic division. A student might choose this answer if they focus on the economic aspect but miss the broader point about colonialism."",""This answer is incorrect because while the passage implies that London is an urban center reflecting global power shifts, it does not suggest that this is the primary characterization of London. The author's main point is about the legacy of colonialism, not just global power shifts. A student might choose this answer if they focus on the global aspect but miss the broader point about colonialism."",""This answer is incorrect because while the passage implies that London may be struggling with social integration, it does not suggest that this is the primary characterization of London. The author's main point is about the legacy of colonialism, not just social integration. A student might choose this answer if they focus on the social aspect but miss the broader point about colonialism.""]",1,,"""For instance, characterizing London simply as a \""wealthy, global multicultural city\"" masks profound structural inequalities along racial and ethnic lines while hiding how imperial legacies perpetuate these disparities."""
,centering_the_margin,"Adapted from Patel, K. (2020). Centering the margins: Knowledge production and methodology as praxis. In Urban Claims and the Right to the City (pp. 19-23). UCL Press.)",Centering The Margins,Centering The Margins - Part 1,"Meow meow meow meow meow. Meow. Oops, sorry. I forgot to copy and paste from Google translate. Eh, just imagine I said something witty.",3,The author's discussion of reflexivity suggests that knowledge production requires:,"[""continuous examination of personal perspective."",""regular updates to research methodology."",""strict adherence to post-colonial academic standards."",""rejecting central thought in favor of marginalized insights.""]",Reasoning Within the Text,"[""This answer is correct because the passage explicitly states that all knowledge is situated, requiring continuous reflexivity to understand how the researcher's position influences what is known and conveyed. The author emphasizes the need for researchers to be aware of their own biases and perspectives and how these might affect their research. This is a key aspect of decolonial scholarship, which emphasizes the need to challenge dominant narratives and power structures in knowledge production. A student choosing this answer demonstrates an understanding of the importance of self-awareness and critical reflection in research."",""This answer is incorrect because while the passage implies that research methodology is important, it does not suggest that regular updates are the primary requirement of knowledge production. The focus is on the researcher's self-awareness, not just the methods used. A student might choose this answer if they focus on the importance of methods but miss the broader point about self-awareness."",""This answer is incorrect because the passage does not suggest that strict adherence to post-colonial academic standards is the primary requirement of knowledge production. The focus is on challenging dominant narratives and power structures, not just adhering to a new set of standards. A student might choose this answer if they focus on the need for new standards but miss the broader point about challenging power structures."",""This answer is incorrect because while the passage implies that marginalized insights are important, it does not suggest that rejecting central thought is the primary requirement of knowledge production. The focus is on including marginalized perspectives, not just rejecting central thought. A student might choose this answer if they oversimplify the argument and assume that rejecting central thought is the only way to be inclusive.""]",1,,"""Feminist geographers have long argued that all knowledge is situated, requiring continuous reflexivity to understand how the researcher's position influences what is known and conveyed."""
,centering_the_margin,"Adapted from Patel, K. (2020). Centering the margins: Knowledge production and methodology as praxis. In Urban Claims and the Right to the City (pp. 19-23). UCL Press.)",Centering The Margins,Centering The Margins - Part 1,"Meow meow meow meow meow. Meow. Oops, sorry. I forgot to copy and paste from Google translate. Eh, just imagine I said something witty.",3,What is the primary purpose of this passage?,"[""Advocate reorienting how knowledge is validated."",""Document shifts in research methodology."",""Criticize a theoretical approach to knowledge."",""Analyze historical developments in centering.""]",Reasoning Within the Text,"[""This answer is correct because the passage argues for a fundamental shift in how we understand and validate knowledge. The author is not just describing a problem but is actively advocating for a change in how knowledge is produced and valued. The passage emphasizes the need to challenge dominant narratives and power structures in knowledge production and to center marginalized voices. The final sentence, \""Only through such critical self-awareness can we begin to reorient knowledge production toward a more equitable and inclusive paradigm,\"" clearly indicates the author's purpose. A student choosing this answer demonstrates an understanding of the author's persuasive intent and the call for a fundamental change in knowledge production."",""This answer is incorrect because while the passage discusses research methodology, it does not primarily aim to document shifts in it. The focus is on the need for a fundamental change in how knowledge is produced, not just on changes in methodology. A student might choose this answer if they focus on the methodological aspects but miss the broader point about reorienting knowledge production."",""This answer is incorrect because while the passage criticizes certain approaches to knowledge, it does not primarily aim to criticize a specific theoretical approach. The focus is on the need for a fundamental change in how knowledge is produced, not just on criticizing a specific theory. A student might choose this answer if they focus on the critical aspects but miss the broader point about reorienting knowledge production."",""This answer is incorrect because while the passage discusses historical developments, it does not primarily aim to analyze them. The focus is on the need for a fundamental change in how knowledge is produced, not just on analyzing historical developments. A student might choose this answer if they focus on the historical aspects but miss the broader point about reorienting knowledge production.""]",1,,"""Only through such critical self-awareness can we begin to reorient knowledge production toward a more equitable and inclusive paradigm."""
,centering_the_margin,"Adapted from Patel, K. (2020). Centering the margins: Knowledge production and methodology as praxis. In Urban Claims and the Right to the City (pp. 19-23). UCL Press.)",Centering The Margins,Centering The Margins - Part 1,"Meow meow meow meow meow. Meow. Oops, sorry. I forgot to copy and paste from Google translate. Eh, just imagine I said something witty.",3,"According to the passage, which practice would LEAST align with decolonial scholarship?","[""Treating subjects as data sources"",""Questioning dominant narratives"",""Examining structural inequities"",""Challenging research methods""]",Reasoning Within the Text,"[""This answer is correct because the passage explicitly argues that marginalized voices should be treated as knowledge producers, not just as data sources. Decolonial scholarship emphasizes the need to challenge the power dynamics inherent in traditional research, where researchers are seen as the experts and those being researched are seen as passive subjects. The passage states, \""Centring marginalized voices is therefore not just about adding different perspectives but about political transformation led by those typically treated as research subjects rather than knowledge producers.\"" This clearly indicates that treating subjects as mere data sources is antithetical to decolonial scholarship. A student choosing this answer demonstrates an understanding of the power dynamics in research and the need to challenge them."",""This answer is incorrect because the passage explicitly advocates for questioning dominant narratives. Decolonial scholarship is fundamentally about challenging the dominant narratives that have been used to justify colonialism and other forms of oppression. A student might choose this answer if they misunderstand the core principles of decolonial scholarship."",""This answer is incorrect because the passage explicitly advocates for examining structural inequities. Decolonial scholarship is concerned with understanding how power structures and inequalities are maintained and perpetuated. A student might choose this answer if they misunderstand the core principles of decolonial scholarship."",""This answer is incorrect because the passage explicitly advocates for challenging research methods. Decolonial scholarship is concerned with challenging the traditional research methods that have been used to marginalize and oppress certain groups. A student might choose this answer if they misunderstand the core principles of decolonial scholarship.""]",1,,"""Centring marginalized voices is therefore not just about adding different perspectives but about political transformation led by those typically treated as research subjects rather than knowledge producers."""
,centering_the_margin,"Adapted from Patel, K. (2020). Centering the margins: Knowledge production and methodology as praxis. In Urban Claims and the Right to the City (pp. 19-23). UCL Press.)",Centering The Margins,Centering The Margins - Part 2,"Meow meow meow meow meow. Meow. Oops, sorry. I forgot to copy and paste from Google translate. Eh, just imagine I said something witty.",3,"bell hook chooses to write her name in lowercase styling to deemphasize her identity and draw attention to her ideas. In conjunction with the passage information, what view of academic convention does this most strongly support?","[""Form can reinforce or challenge power structures."",""Traditional standards weaken scholarly rigor."",""Personal expression transcends academic rules."",""Style changes reflect cultural evolution.""]",Reasoning Beyond the Text,"[""This answer is correct because the passage discusses how Western academia constitutes an imperial core that sets the boundaries of legitimate knowledge, and bell hooks' lowercase styling can be seen as a challenge to these established power structures. By choosing to write her name in lowercase, bell hooks is subverting the traditional academic convention of capitalizing proper nouns, which can be seen as a way of asserting authority and importance. This act of subversion aligns with the passage's argument that dominant narratives and power structures need to be challenged. A student choosing this answer demonstrates an understanding of how seemingly minor stylistic choices can have political implications and how they can be used to challenge established power structures."",""This answer is incorrect because while the passage implies that traditional standards may have flaws, it does not suggest that they weaken scholarly rigor. The focus is on challenging power structures, not on weakening rigor. A student might choose this answer if they focus on the flaws of traditional standards but miss the broader point about power structures."",""This answer is incorrect because while the passage implies that personal expression is important, it does not suggest that it transcends academic rules. The focus is on challenging power structures, not on simply expressing oneself. A student might choose this answer if they focus on personal expression but miss the broader point about power structures."",""This answer is incorrect because while the passage implies that style changes may reflect cultural evolution, it does not suggest that this is the primary view supported by bell hooks' lowercase styling. The focus is on challenging power structures, not on cultural evolution. A student might choose this answer if they focus on cultural evolution but miss the broader point about power structures.""]",1,,"""The idea of 'centring the margins' emerges from decolonizing debates, where Western academia constitutes an imperial core that sets the boundaries of legitimate knowledge, marking itself as knowledge creator while relegating non-Western voices to mere subjects of study."""
,centering_the_margin,"Adapted from Patel, K. (2020). Centering the margins: Knowledge production and methodology as praxis. In Urban Claims and the Right to the City (pp. 19-23). UCL Press.)",Centering The Margins,Centering The Margins - Part 2,"Meow meow meow meow meow. Meow. Oops, sorry. I forgot to copy and paste from Google translate. Eh, just imagine I said something witty.",3,Which finding would most fundamentally challenge decolonial scholarship as presented in the passage?,"[""Marginalized perspectives replicate dominant frameworks."",""Western methods tend to yield inclusive results."",""Power structures naturally shift over time."",""Knowledge systems naturally converge.""]",Reasoning Beyond the Text,"[""This answer is correct because the passage argues that marginalized perspectives offer unique insights that challenge dominant frameworks. If marginalized perspectives were found to simply replicate dominant frameworks, it would undermine the core argument of decolonial scholarship, which is that marginalized voices offer alternative ways of understanding the world. The passage states, \""Through methods like counter-narrative and alternative visual representation, marginalized groups can both represent themselves and produce new frameworks for understanding.\"" This implies that marginalized perspectives are not just different but also challenge existing frameworks. A student choosing this answer demonstrates an understanding of the core principles of decolonial scholarship and how they would be challenged by this finding."",""This answer is incorrect because the passage argues that Western methods are often biased and exclusionary. If Western methods were found to yield inclusive results, it would not challenge the core argument of decolonial scholarship, which is that these methods are often used to marginalize and oppress certain groups. A student might choose this answer if they misunderstand the core principles of decolonial scholarship."",""This answer is incorrect because the passage argues that power structures are maintained through knowledge production. If power structures were found to naturally shift over time, it would not challenge the core argument of decolonial scholarship, which is that these structures need to be actively challenged. A student might choose this answer if they misunderstand the core principles of decolonial scholarship."",""This answer is incorrect because the passage argues that knowledge systems are often in conflict. If knowledge systems were found to naturally converge, it would not challenge the core argument of decolonial scholarship, which is that these systems are often used to marginalize and oppress certain groups. A student might choose this answer if they misunderstand the core principles of decolonial scholarship.""]",1,,"""Through methods like counter-narrative and alternative visual representation, marginalized groups can both represent themselves and produce new frameworks for understanding."""
,centering_the_margin,"Adapted from Patel, K. (2020). Centering the margins: Knowledge production and methodology as praxis. In Urban Claims and the Right to the City (pp. 19-23). UCL Press.)",Centering The Margins,Centering The Margins - Part 2,"Meow meow meow meow meow. Meow. Oops, sorry. I forgot to copy and paste from Google translate. Eh, just imagine I said something witty.",3,The passage's discussion of feminist geography most directly CHALLENGES which assumption about research?,"[""Objectivity exists independent of context."",""Methods can help determine outcomes."",""Theory does not guide observation."",""Individual experience shapes perspective.""]",Reasoning Within the Text,"[""This answer is correct because the passage states that feminist geographers argue that all knowledge is situated, meaning that it is always influenced by the context in which it is produced. This directly challenges the assumption that objectivity exists independent of context. The passage states, \""Feminist geographers have long argued that all knowledge is situated, requiring continuous reflexivity to understand how the researcher's position influences what is known and conveyed.\"" This clearly indicates that the idea of objective knowledge is being challenged. A student choosing this answer demonstrates an understanding of the core principles of feminist geography and how they challenge traditional assumptions about objectivity."",""This answer is incorrect because the passage implies that methods are important, not that they are not important. The passage discusses the importance of reflexivity, which is a methodological consideration. A student might choose this answer if they misunderstand the core principles of feminist geography."",""This answer is incorrect because the passage implies that theory guides observation, not that it does not. The passage discusses the importance of challenging dominant narratives, which are theoretical frameworks. A student might choose this answer if they misunderstand the core principles of feminist geography."",""This answer is incorrect because the passage implies that individual experience shapes perspective, not that it does not. The passage discusses the importance of reflexivity, which is about understanding how the researcher's position influences their perspective. A student might choose this answer if they misunderstand the core principles of feminist geography.""]",1,,"""Feminist geographers have long argued that all knowledge is situated, requiring continuous reflexivity to understand how the researcher's position influences what is known and conveyed."""
,centering_the_margin,"Adapted from Patel, K. (2020). Centering the margins: Knowledge production and methodology as praxis. In Urban Claims and the Right to the City (pp. 19-23). UCL Press.)",Centering The Margins,Centering The Margins - Part 2,"Meow meow meow meow meow. Meow. Oops, sorry. I forgot to copy and paste from Google translate. Eh, just imagine I said something witty.",3,How does the passage characterize the relationship between power and knowledge production?,"[""As mutually reinforcing systems."",""As gradually disconnecting."",""As naturally balancing."",""As historically fixed and unchanging.""]",Reasoning Within the Text,"[""This answer is correct because the passage argues that Western academia, as a site of power, sets the boundaries of legitimate knowledge, and that this power dynamic reinforces existing inequalities. The passage states, \""The idea of 'centring the margins' emerges from decolonizing debates, where Western academia constitutes an imperial core that sets the boundaries of legitimate knowledge, marking itself as knowledge creator while relegating non-Western voices to mere subjects of study.\"" This clearly indicates that power and knowledge production are mutually reinforcing systems. A student choosing this answer demonstrates an understanding of how power structures shape knowledge production and how knowledge production reinforces power structures."",""This answer is incorrect because the passage implies that power and knowledge production are connected, not that they are gradually disconnecting. The passage argues that power structures are maintained through knowledge production. A student might choose this answer if they misunderstand the core principles of decolonial scholarship."",""This answer is incorrect because the passage implies that power and knowledge production are imbalanced, not that they are naturally balancing. The passage argues that Western academia has a dominant position in knowledge production. A student might choose this answer if they misunderstand the core principles of decolonial scholarship."",""This answer is incorrect because the passage implies that power and knowledge production are dynamic, not that they are historically fixed and unchanging. The passage argues that power structures need to be actively challenged. A student might choose this answer if they misunderstand the core principles of decolonial scholarship.""]",1,,"""The idea of 'centring the margins' emerges from decolonizing debates, where Western academia constitutes an imperial core that sets the boundaries of legitimate knowledge, marking itself as knowledge creator while relegating non-Western voices to mere subjects of study."""
,centering_the_margin,"Adapted from Patel, K. (2020). Centering the margins: Knowledge production and methodology as praxis. In Urban Claims and the Right to the City (pp. 19-23). UCL Press.)",Centering The Margins,Centering The Margins - Part 2,"Meow meow meow meow meow. Meow. Oops, sorry. I forgot to copy and paste from Google translate. Eh, just imagine I said something witty.",3,Which of the following best describes how the author develops the argument in the first two paragraphs?,"[""Poses questions, then explains their significance."",""Presents theory, then gives examples."",""States problem, then offers solution."",""Defines terms, then applies concepts.""]",Reasoning Within the Text,"[""This answer is correct because the first paragraph begins with questions about how we understand the world, and the second paragraph explains the significance of these questions by discussing situated knowledge and reflexivity. The first paragraph asks, \""From where do we look upon the world and from where do we understand what we see?\"" The second paragraph then explains why these questions are important by discussing how geography, socio-economic position, race, and gender shape knowledge production. A student choosing this answer demonstrates an understanding of the author's rhetorical strategy and how the argument is developed in the first two paragraphs."",""This answer is incorrect because while the passage presents theory, it does not primarily develop the argument by giving examples in the first two paragraphs. The examples are introduced later in the passage. A student might choose this answer if they focus on the theoretical aspects but miss the broader point about the author's rhetorical strategy."",""This answer is incorrect because while the passage states a problem, it does not primarily offer a solution in the first two paragraphs. The solution is introduced later in the passage. A student might choose this answer if they focus on the problem-solution structure but miss the broader point about the author's rhetorical strategy."",""This answer is incorrect because while the passage defines terms, it does not primarily develop the argument by applying concepts in the first two paragraphs. The application of concepts is introduced later in the passage. A student might choose this answer if they focus on the definitional aspects but miss the broader point about the author's rhetorical strategy.""]",1,,"""From where do we look upon the world and from where do we understand what we see? These questions demand we interrogate how geography, socio-economic position, race, and gender shape knowledge production."""
,centering_the_margin,"Adapted from Patel, K. (2020). Centering the margins: Knowledge production and methodology as praxis. In Urban Claims and the Right to the City (pp. 19-23). UCL Press.)",Centering The Margins,Centering The Margins - Part 2,"Meow meow meow meow meow. Meow. Oops, sorry. I forgot to copy and paste from Google translate. Eh, just imagine I said something witty.",3,"According to the passage, what best characterizes Western academia's treatment of non-Western voices?","[""Positions them as research subjects rather than knowledge creators."",""Marginalizes the theoretical contributions of scholars at the margin."",""Excludes them from mainstream academic discourse entirely."",""Incorporates them as partners in research design.""]",Reasoning Within the Text,"[""This answer is correct because the passage explicitly states that Western academia relegates non-Western voices to mere subjects of study, not as knowledge creators. The passage states, \""The idea of 'centring the margins' emerges from decolonizing debates, where Western academia constitutes an imperial core that sets the boundaries of legitimate knowledge, marking itself as knowledge creator while relegating non-Western voices to mere subjects of study.\"" This clearly indicates that non-Western voices are treated as objects of research rather than as active participants in knowledge production. A student choosing this answer demonstrates an understanding of the power dynamics in academia and how they marginalize non-Western voices."",""This answer is incorrect because while the passage implies that Western academia marginalizes the theoretical contributions of scholars at the margin, it does not suggest that this is the primary characterization of their treatment. The primary issue is that they are not seen as knowledge creators at all. A student might choose this answer if they focus on the marginalization of theoretical contributions but miss the broader point about the lack of recognition as knowledge creators."",""This answer is incorrect because while the passage implies that Western academia may exclude non-Western voices from mainstream academic discourse, it does not suggest that this is the primary characterization of their treatment. The primary issue is that they are not seen as knowledge creators at all. A student might choose this answer if they focus on the exclusion from mainstream discourse but miss the broader point about the lack of recognition as knowledge creators."",""This answer is incorrect because the passage explicitly argues that Western academia does not incorporate non-Western voices as partners in research design. The passage argues that non-Western voices are treated as subjects of research, not as partners. A student might choose this answer if they misunderstand the core principles of decolonial scholarship.""]",1,,"""The idea of 'centring the margins' emerges from decolonizing debates, where Western academia constitutes an imperial core that sets the boundaries of legitimate knowledge, marking itself as knowledge creator while relegating non-Western voices to mere subjects of study."""
